ENERGIA,BR,ELEMENTO,Canale associato,err canale
"46,5",,Pb - 210,"152,13","6,397394546"
"59,54","35,94",Am - 241,"191,61","6,204427542"
"67,86",93,Ti - 44,"216,72","5,456642399"
"78,32","96,8",Ti - 44,"247,31","5,54900873"
"146,92","0,092",Ti - 44,"453,06","9,252069963"
"122,06","85,6",Co - 57,"363,48","7,874010809"
"186,21","3,57",Ra - 226,"536,57","10,05232278"
"241,9","7,46",Pb - 210,"688,07","10,24221938"
"295,1","12,9",Pb - 210,"832,05","9,529643413"
"351,9","37,1",Pb - 210,"984,6","8,795043953"
511,180,Na - 22 ,1430,"8,760023746"
511,100,Ti - 44,"1425,54","8,760023746"
"609,3","46,1",Bi - 214,"1678,66","14,34016951"
"661,65","85,1",Cs - 137,"1822,02","23,64355453"